category,franchise,name,aliases,wiki_title,wiki_url
anime,Bleach,Ichigo Kurosaki,Ichigo,Ichigo Kurosaki,
anime,Bleach,Sosuke Aizen,Aizen,Sosuke Aizen,
anime,Bleach,Byakuya Kuchiki,Byakuya,Byakuya Kuchiki,
anime,Bleach,Kenpachi Zaraki,Kenpachi,Kenpachi Zaraki,
anime,Bleach,Rukia Kuchiki,Rukia,Rukia Kuchiki,
anime,Bleach,Yhwach,,Yhwach,
anime,One Piece,Monkey D. Luffy,Luffy,Monkey D. Luffy,
anime,One Piece,Roronoa Zoro,Zoro,Roronoa Zoro,
anime,One Piece,Sanji,,Sanji,
anime,One Piece,Kaido,Kaidou,Kaido,
anime,One Piece,Shanks,,Shanks,
anime,One Piece,Marshall D. Teach,Blackbeard,Marshall D. Teach,
anime,Dragon Ball,Vegeta,Prince Vegeta,Vegeta (Dragon Ball),
anime,Dragon Ball,Frieza,Freeza,Frieza,
anime,Dragon Ball,Broly,,Broly,
anime,Dragon Ball,Beerus,,Beerus,
anime,Dragon Ball,Jiren,,Jiren,
anime,Dragon Ball,Piccolo,,Piccolo,
anime,Naruto,Sasuke Uchiha,Sasuke,Sasuke Uchiha,
anime,Naruto,Kakashi Hatake,Kakashi,Kakashi Hatake,
anime,Naruto,Itachi Uchiha,Itachi,Itachi Uchiha,
anime,Naruto,Madara Uchiha,Madara,Madara Uchiha,
anime,Naruto,Obito Uchiha,Obito,Obito Uchiha,
anime,Naruto,Hashirama Senju,Hashirama,Hashirama Senju,
anime,My Hero Academia,Izuku Midoriya,Deku,Izuku Midoriya,
anime,My Hero Academia,Katsuki Bakugo,Bakugo,Katsuki Bakugo,
anime,My Hero Academia,Shoto Todoroki,Todoroki,Shoto Todoroki,
anime,My Hero Academia,All Might,Toshinori Yagi,All Might,
anime,My Hero Academia,Tomura Shigaraki,Shigaraki,Tomura Shigaraki,
anime,Jujutsu Kaisen,Yuji Itadori,Yuji,Yuji Itadori,
anime,Jujutsu Kaisen,Satoru Gojo,Gojo,Satoru Gojo,
anime,Jujutsu Kaisen,Ryomen Sukuna,Sukuna,Ryomen Sukuna,
anime,Jujutsu Kaisen,Megumi Fushiguro,Megumi,Megumi Fushiguro,
anime,Jujutsu Kaisen,Yuta Okkotsu,Yuta,Yuta Okkotsu,
anime,Hunter x Hunter,Gon Freecss,Gon,Gon Freecss,
anime,Hunter x Hunter,Killua Zoldyck,Killua,Killua Zoldyck,
anime,Hunter x Hunter,Hisoka Morow,Hisoka,Hisoka Morow,
anime,Hunter x Hunter,Meruem,,Meruem,
anime,One-Punch Man,Saitama,,Saitama,
anime,One-Punch Man,Garou,Garou,Garou,
anime,One-Punch Man,Boros,Lord Boros,Boros,
anime,One-Punch Man,Genos,Demon Cyborg,Genos,
anime,Attack on Titan,Eren Yeager,Eren,Eren Yeager,
anime,Attack on Titan,Mikasa Ackerman,Mikasa,Mikasa Ackerman,
anime,Attack on Titan,Levi Ackerman,Levi,Levi Ackerman,
anime,Demon Slayer,Tanjiro Kamado,Tanjiro,Tanjiro Kamado,
anime,Demon Slayer,Nezuko Kamado,Nezuko,Nezuko Kamado,
anime,Demon Slayer,Muzan Kibutsuji,Muzan,Muzan Kibutsuji,
anime,Demon Slayer,Yoriichi Tsugikuni,Yoriichi,Yoriichi Tsugikuni,
anime,Fullmetal Alchemist,Edward Elric,Ed,Edward Elric,
anime,Fullmetal Alchemist,Alphonse Elric,Al,Alphonse Elric,
anime,Fullmetal Alchemist,Roy Mustang,,Roy Mustang,
anime,Fullmetal Alchemist,Father,,Father,
anime,Cowboy Bebop,Spike Spiegel,Spike,Spike Spiegel,
anime,Tokyo Ghoul,Ken Kaneki,Kaneki,Ken Kaneki,
anime,Overlord,Ainz Ooal Gown,Momonga,Ainz Ooal Gown,
anime,That Time I Got Reincarnated as a Slime,Rimuru Tempest,Rimuru,Rimuru Tempest,
anime,Solo Leveling,Sung Jinwoo,Jinwoo,Sung Jinwoo,
game,Final Fantasy VII,Tifa Lockhart,Tifa,Tifa Lockhart,
game,Final Fantasy VII,Aerith Gainsborough,Aeris,Aerith Gainsborough,
game,Final Fantasy VII,Zack Fair,Zack,Zack Fair,
game,Final Fantasy VII,Vincent Valentine,Vincent,Vincent Valentine,
game,Final Fantasy VIII,Squall Leonhart,Squall,Squall Leonhart,
game,Final Fantasy VIII,Ultimecia,,Ultimecia,
game,Final Fantasy IX,Zidane Tribal,Zidane,Zidane Tribal,
game,Final Fantasy X,Tidus,,Tidus,
game,Final Fantasy X,Auron,,Auron,
game,Final Fantasy X,Jecht,,Jecht,
game,Final Fantasy X,Seymour Guado,Seymour,Seymour Guado,
game,Final Fantasy XV,Noctis Lucis Caelum,Noctis,Noctis Lucis Caelum,
game,Final Fantasy XV,Ardyn Izunia,Ardyn,Ardyn Izunia,
game,Kingdom Hearts,Sora,,Sora,
game,Kingdom Hearts,Riku,,Riku,
game,Kingdom Hearts,Xehanort,Master Xehanort,Xehanort,
game,Kingdom Hearts,Roxas,,Roxas,
game,Kingdom Hearts,Aqua,,Aqua,
game,Devil May Cry,Dante,,Dante,
game,Devil May Cry,Vergil,,Vergil,
game,Devil May Cry,Nero,,Nero,
game,God of War,Kratos,,Kratos,
game,God of War,Atreus,,Atreus,
game,Metal Gear,Raiden,Jack,Raiden,
game,Metal Gear,Senator Armstrong,Armstrong,Senator Armstrong,
game,Sonic the Hedgehog,Sonic the Hedgehog,Sonic,Sonic the Hedgehog,
game,Sonic the Hedgehog,Shadow the Hedgehog,Shadow,Shadow the Hedgehog,
game,The Legend of Zelda,Link,,Link,
game,The Legend of Zelda,Ganondorf,Ganon,Ganondorf,
game,Metroid,Samus Aran,Samus,Samus Aran,
game,Mega Man,Mega Man,Rockman,Mega Man,
game,Street Fighter,Ryu,,Ryu,
game,Street Fighter,Akuma,Gouki,Akuma,
game,Mortal Kombat,Scorpion,Hanzo Hasashi,Scorpion,
game,Mortal Kombat,Sub-Zero,Kuai Liang,Sub-Zero,
