category,franchise,name,aliases,wiki_title,wiki_url
comic,Marvel,Iron Man (Classic),Tony Stark,Iron Man (Classic),
comic,Marvel,Iron Man (Modern),Tony Stark,Iron Man (Modern),
comic,Marvel,Iron Man (Composite),Tony Stark,Iron Man (Composite),
comic,Marvel,Iron Man (Post-Crisis),Tony Stark,Iron Man (Post-Crisis),
comic,Marvel,Iron Man (Post-Flashpoint),Tony Stark,Iron Man (Post-Flashpoint),
comic,Marvel,Iron Man (Rebirth),Tony Stark,Iron Man (Rebirth),
comic,Marvel,Iron Man (Marvel Comics),Tony Stark,Iron Man (Marvel Comics),
comic,Marvel,Iron Man (DC Comics),Tony Stark,Iron Man (DC Comics),
comic,Marvel,Iron Man (Game),Tony Stark,Iron Man (Game),
comic,Marvel,Iron Man (Anime),Tony Stark,Iron Man (Anime),
comic,Marvel,Spider-Man (Classic),Peter Parker,Spider-Man (Classic),
comic,Marvel,Spider-Man (Modern),Peter Parker,Spider-Man (Modern),
comic,Marvel,Spider-Man (Composite),Peter Parker,Spider-Man (Composite),
comic,Marvel,Spider-Man (Post-Crisis),Peter Parker,Spider-Man (Post-Crisis),
comic,Marvel,Spider-Man (Post-Flashpoint),Peter Parker,Spider-Man (Post-Flashpoint),
comic,Marvel,Spider-Man (Rebirth),Peter Parker,Spider-Man (Rebirth),
comic,Marvel,Spider-Man (Marvel Comics),Peter Parker,Spider-Man (Marvel Comics),
comic,Marvel,Spider-Man (DC Comics),Peter Parker,Spider-Man (DC Comics),
comic,Marvel,Spider-Man (Game),Peter Parker,Spider-Man (Game),
comic,Marvel,Spider-Man (Anime),Peter Parker,Spider-Man (Anime),
comic,Marvel,Miles Morales,,Miles Morales,
comic,Marvel,Miles Morales (Classic),,Miles Morales (Classic),
comic,Marvel,Miles Morales (Modern),,Miles Morales (Modern),
comic,Marvel,Miles Morales (Composite),,Miles Morales (Composite),
comic,Marvel,Miles Morales (Post-Crisis),,Miles Morales (Post-Crisis),
comic,Marvel,Miles Morales (Post-Flashpoint),,Miles Morales (Post-Flashpoint),
comic,Marvel,Miles Morales (Rebirth),,Miles Morales (Rebirth),
comic,Marvel,Miles Morales (Marvel Comics),,Miles Morales (Marvel Comics),
comic,Marvel,Miles Morales (DC Comics),,Miles Morales (DC Comics),
