category,franchise,name,aliases,wiki_title,wiki_url
game,Final Fantasy,Cloud Strife,,Cloud Strife,
game,Final Fantasy,Cloud Strife (Final Fantasy),,Cloud Strife (Final Fantasy),
game,Final Fantasy,Cloud Strife (Game),,Cloud Strife (Game),
game,Final Fantasy,Sephiroth,,Sephiroth,
game,Final Fantasy,Sephiroth (Final Fantasy),,Sephiroth (Final Fantasy),
game,Final Fantasy,Sephiroth (Game),,Sephiroth (Game),
game,Final Fantasy,Tifa Lockhart,,Tifa Lockhart,
game,Final Fantasy,Tifa Lockhart (Final Fantasy),,Tifa Lockhart (Final Fantasy),
game,Final Fantasy,Tifa Lockhart (Game),,Tifa Lockhart (Game),
game,Final Fantasy,Aerith Gainsborough,,Aerith Gainsborough,
game,Final Fantasy,Aerith Gainsborough (Final Fantasy),,Aerith Gainsborough (Final Fantasy),
game,Final Fantasy,Aerith Gainsborough (Game),,Aerith Gainsborough (Game),
game,Final Fantasy,Barret Wallace,,Barret Wallace,
game,Final Fantasy,Barret Wallace (Final Fantasy),,Barret Wallace (Final Fantasy),
game,Final Fantasy,Barret Wallace (Game),,Barret Wallace (Game),
game,Final Fantasy,Squall Leonhart,,Squall Leonhart,
game,Final Fantasy,Squall Leonhart (Final Fantasy),,Squall Leonhart (Final Fantasy),
game,Final Fantasy,Squall Leonhart (Game),,Squall Leonhart (Game),
game,Final Fantasy,Rinoa Heartilly,,Rinoa Heartilly,
game,Final Fantasy,Rinoa Heartilly (Final Fantasy),,Rinoa Heartilly (Final Fantasy),
game,Final Fantasy,Rinoa Heartilly (Game),,Rinoa Heartilly (Game),
game,Final Fantasy,Seifer Almasy,,Seifer Almasy,
game,Final Fantasy,Seifer Almasy (Final Fantasy),,Seifer Almasy (Final Fantasy),
game,Final Fantasy,Seifer Almasy (Game),,Seifer Almasy (Game),
game,Final Fantasy,Zidane Tribal,,Zidane Tribal,
game,Final Fantasy,Zidane Tribal (Final Fantasy),,Zidane Tribal (Final Fantasy),
game,Final Fantasy,Zidane Tribal (Game),,Zidane Tribal (Game),
game,Final Fantasy,Vivi Ornitier,,Vivi Ornitier,
game,Final Fantasy,Vivi Ornitier (Final Fantasy),,Vivi Ornitier (Final Fantasy),
game,Final Fantasy,Vivi Ornitier (Game),,Vivi Ornitier (Game),
game,Final Fantasy,Garnet Til Alexandros XVII,,Garnet Til Alexandros XVII,
game,Final Fantasy,Garnet Til Alexandros XVII (Final Fantasy),,Garnet Til Alexandros XVII (Final Fantasy),
game,Final Fantasy,Garnet Til Alexandros XVII (Game),,Garnet Til Alexandros XVII (Game),
game,Final Fantasy,Tidus,,Tidus,
