category,franchise,name,aliases,wiki_title,wiki_url
anime,Dragon Ball,Son Goku (Classic),Goku|Kakarot,Son Goku (Classic),
anime,Dragon Ball,Son Goku (Modern),Goku|Kakarot,Son Goku (Modern),
anime,Dragon Ball,Son Goku (Composite),Goku|Kakarot,Son Goku (Composite),
anime,Dragon Ball,Son Goku (Post-Crisis),Goku|Kakarot,Son Goku (Post-Crisis),
anime,Dragon Ball,Son Goku (Post-Flashpoint),Goku|Kakarot,Son Goku (Post-Flashpoint),
anime,Dragon Ball,Son Goku (Rebirth),Goku|Kakarot,Son Goku (Rebirth),
anime,Dragon Ball,Son Goku (Marvel Comics),Goku|Kakarot,Son Goku (Marvel Comics),
anime,Dragon Ball,Son Goku (DC Comics),Goku|Kakarot,Son Goku (DC Comics),
anime,Dragon Ball,Son Goku (Game),Goku|Kakarot,Son Goku (Game),
anime,Dragon Ball,Son Goku (Anime),Goku|Kakarot,Son Goku (Anime),
anime,Dragon Ball,Vegeta (Classic),,Vegeta (Classic),
anime,Dragon Ball,Vegeta (Modern),,Vegeta (Modern),
anime,Dragon Ball,Vegeta (Composite),,Vegeta (Composite),
anime,Dragon Ball,Vegeta (Post-Crisis),,Vegeta (Post-Crisis),
anime,Dragon Ball,Vegeta (Post-Flashpoint),,Vegeta (Post-Flashpoint),
anime,Dragon Ball,Vegeta (Rebirth),,Vegeta (Rebirth),
anime,Dragon Ball,Vegeta (Marvel Comics),,Vegeta (Marvel Comics),
anime,Dragon Ball,Vegeta (DC Comics),,Vegeta (DC Comics),
anime,Dragon Ball,Vegeta (Game),,Vegeta (Game),
anime,Dragon Ball,Vegeta (Anime),,Vegeta (Anime),
anime,Dragon Ball,Gohan,,Gohan,
anime,Dragon Ball,Gohan (Classic),,Gohan (Classic),
anime,Dragon Ball,Gohan (Modern),,Gohan (Modern),
anime,Dragon Ball,Gohan (Composite),,Gohan (Composite),
anime,Dragon Ball,Gohan (Post-Crisis),,Gohan (Post-Crisis),
anime,Dragon Ball,Gohan (Post-Flashpoint),,Gohan (Post-Flashpoint),
anime,Dragon Ball,Gohan (Rebirth),,Gohan (Rebirth),
anime,Dragon Ball,Gohan (Marvel Comics),,Gohan (Marvel Comics),
anime,Dragon Ball,Gohan (DC Comics),,Gohan (DC Comics),
anime,Dragon Ball,Gohan (Game),,Gohan (Game),
