category,franchise,name,aliases,wiki_title,wiki_url
mixed,Crossover Icons,Mario,,Mario,
mixed,Crossover Icons,Mario (Classic),,Mario (Classic),
mixed,Crossover Icons,Mario (Modern),,Mario (Modern),
mixed,Crossover Icons,Mario (Composite),,Mario (Composite),
mixed,Crossover Icons,Mario (Post-Crisis),,Mario (Post-Crisis),
mixed,Crossover Icons,Mario (Post-Flashpoint),,Mario (Post-Flashpoint),
mixed,Crossover Icons,Mario (Rebirth),,Mario (Rebirth),
mixed,Crossover Icons,Mario (Marvel Comics),,Mario (Marvel Comics),
mixed,Crossover Icons,Mario (DC Comics),,Mario (DC Comics),
mixed,Crossover Icons,Mario (Game),,Mario (Game),
mixed,Crossover Icons,Mario (Anime),,Mario (Anime),
mixed,Crossover Icons,Luigi,,Luigi,
mixed,Crossover Icons,Luigi (Classic),,Luigi (Classic),
mixed,Crossover Icons,Luigi (Modern),,Luigi (Modern),
mixed,Crossover Icons,Luigi (Composite),,Luigi (Composite),
mixed,Crossover Icons,Luigi (Post-Crisis),,Luigi (Post-Crisis),
mixed,Crossover Icons,Luigi (Post-Flashpoint),,Luigi (Post-Flashpoint),
mixed,Crossover Icons,Luigi (Rebirth),,Luigi (Rebirth),
mixed,Crossover Icons,Luigi (Marvel Comics),,Luigi (Marvel Comics),
mixed,Crossover Icons,Luigi (DC Comics),,Luigi (DC Comics),
mixed,Crossover Icons,Luigi (Game),,Luigi (Game),
mixed,Crossover Icons,Luigi (Anime),,Luigi (Anime),
mixed,Crossover Icons,Princess Peach,,Princess Peach,
mixed,Crossover Icons,Princess Peach (Classic),,Princess Peach (Classic),
mixed,Crossover Icons,Princess Peach (Modern),,Princess Peach (Modern),
mixed,Crossover Icons,Princess Peach (Composite),,Princess Peach (Composite),
mixed,Crossover Icons,Princess Peach (Post-Crisis),,Princess Peach (Post-Crisis),
mixed,Crossover Icons,Princess Peach (Post-Flashpoint),,Princess Peach (Post-Flashpoint),
mixed,Crossover Icons,Princess Peach (Rebirth),,Princess Peach (Rebirth),
mixed,Crossover Icons,Princess Peach (Marvel Comics),,Princess Peach (Marvel Comics),
mixed,Crossover Icons,Princess Peach (DC Comics),,Princess Peach (DC Comics),
mixed,Crossover Icons,Princess Peach (Game),,Princess Peach (Game),
mixed,Crossover Icons,Princess Peach (Anime),,Princess Peach (Anime),
mixed,Crossover Icons,Bowser,,Bowser,
mixed,Crossover Icons,Bowser (Classic),,Bowser (Classic),
mixed,Crossover Icons,Bowser (Modern),,Bowser (Modern),
mixed,Crossover Icons,Bowser (Composite),,Bowser (Composite),
mixed,Crossover Icons,Bowser (Post-Crisis),,Bowser (Post-Crisis),
mixed,Crossover Icons,Bowser (Post-Flashpoint),,Bowser (Post-Flashpoint),
mixed,Crossover Icons,Bowser (Rebirth),,Bowser (Rebirth),
