category,franchise,name,aliases,wiki_title,wiki_url
comic,Marvel,Iron Man (Hulkbuster),Tony Stark|Hulkbuster,Iron Man (Hulkbuster),
comic,Marvel,Iron Man (Extremis Armor),Tony Stark|Extremis,Iron Man (Extremis Armor),
comic,Marvel,Iron Man (Bleeding Edge),Tony Stark|Bleeding Edge Armor,Iron Man (Bleeding Edge),
comic,Marvel,Spider-Man (Symbiote Suit),Peter Parker|Black Suit,Spider-Man (Symbiote Suit),
comic,Marvel,Thor (Rune King Thor),,Thor (Rune King Thor),
comic,Marvel,Hulk (World Breaker Hulk),Bruce Banner,Hulk (World Breaker Hulk),
comic,Marvel,Jean Grey (Phoenix),Phoenix Force,Jean Grey (Phoenix),
comic,Marvel,Ghost Rider (Zarathos),Johnny Blaze,Ghost Rider (Zarathos),
comic,DC,Batman (Hellbat Armor),Bruce Wayne|Hellbat,Batman (Hellbat Armor),
comic,DC,Batman (Final Batsuit),Bruce Wayne,Batman (Final Batsuit),
comic,DC,Superman (Post-Crisis),Clark Kent,Superman (Post-Crisis),
comic,DC,Superman (Prime Earth),Clark Kent,Superman (Prime Earth),
comic,DC,Superman (All-Star),Clark Kent,Superman (All-Star),
comic,DC,Wonder Woman (Post-Crisis),Diana Prince,Wonder Woman (Post-Crisis),
comic,DC,The Flash (Wally West),Flash|Wally West,The Flash (Wally West),
comic,DC,The Flash (Barry Allen),Flash|Barry Allen,The Flash (Barry Allen),
anime,Dragon Ball,Son Goku (Super Saiyan Blue),Goku|Kakarot|SSB,Son Goku (Super Saiyan Blue),
anime,Dragon Ball,Son Goku (Ultra Instinct),Goku|Kakarot|UI,Son Goku (Ultra Instinct),
anime,Dragon Ball,Vegeta (Ultra Ego),,Vegeta (Ultra Ego),
anime,Naruto,Naruto Uzumaki (Six Paths Sage Mode),Naruto,Naruto Uzumaki (Six Paths Sage Mode),
anime,Naruto,Sasuke Uchiha (Rinnegan),Sasuke,Sasuke Uchiha (Rinnegan),
anime,Bleach,Ichigo Kurosaki (True Bankai),Ichigo,Ichigo Kurosaki (True Bankai),
anime,One Piece,Luffy (Gear 5),Monkey D. Luffy|Nika,Luffy (Gear 5),
anime,Sailor Moon,Sailor Moon (Eternal),Usagi Tsukino|Eternal Sailor Moon,Sailor Moon (Eternal),
game,Devil May Cry,Dante (Sin Devil Trigger),,Dante (Sin Devil Trigger),
game,Devil May Cry,Vergil (Sin Devil Trigger),,Vergil (Sin Devil Trigger),
game,Kingdom Hearts,Sora (Kingdom Hearts III),Sora KH3,Sora (Kingdom Hearts III),
game,Final Fantasy,Cloud Strife (Advent Children),Cloud,Cloud Strife (Advent Children),
game,The Legend of Zelda,Link (Breath of the Wild),BOTW Link,Link (Breath of the Wild),
game,Metroid,Samus Aran (Varia Suit),Samus|Varia,Samus Aran (Varia Suit),
game,Doom,Doom Slayer (Praetor Suit),Doomguy,Doom Slayer (Praetor Suit),
game,God of War,Kratos (Norse Era),,Kratos (Norse Era),
