category,franchise,name,aliases,wiki_title,wiki_url
anime,Frieren: Beyond Journey’s End,Frieren,,,
anime,Frieren: Beyond Journey’s End,Fern,,,
anime,Frieren: Beyond Journey’s End,Stark,,,
anime,Frieren: Beyond Journey’s End,Serie,,,
anime,Frieren: Beyond Journey’s End,Flamme,,,
anime,Frieren: Beyond Journey’s End,Himmel,,,
anime,Frieren: Beyond Journey’s End,Heiter,,,
anime,Frieren: Beyond Journey’s End,Eisen,,,
anime,Frieren: Beyond Journey’s End,Aura,,,
anime,Frieren: Beyond Journey’s End,Denken,,,
anime,Frieren: Beyond Journey’s End,Ubel,,,
anime,Frieren: Beyond Journey’s End,Wirbel,,,
anime,Dandadan,Momo Ayase,,,
anime,Dandadan,Okarun,,,
anime,Dandadan,Aira Shiratori,,,
anime,Dandadan,Jiji,,,
anime,Dandadan,Seiko Ayase,,,
anime,Dandadan,Turbo Granny,,,
anime,Sakamoto Days,Taro Sakamoto,,,
anime,Sakamoto Days,Shin Asakura,,,
anime,Sakamoto Days,Lu Shaotang,,,
anime,Sakamoto Days,Yoichi Nagumo,,,
anime,Sakamoto Days,Shishiba,,,
anime,Sakamoto Days,Osaragi,,,
anime,Sakamoto Days,Takamura,,,
anime,Sakamoto Days,Kei Uzuki,,,
anime,Kaiju No. 8,Kafka Hibino,,,
anime,Kaiju No. 8,Mina Ashiro,,,
anime,Kaiju No. 8,Reno Ichikawa,,,
anime,Kaiju No. 8,Kikoru Shinomiya,,,
anime,Kaiju No. 8,Soshiro Hoshina,,,
anime,Kaiju No. 8,Gen Narumi,,,
anime,Kaiju No. 8,Kaiju No. 9,,,
anime,Solo Leveling,Cha Hae-In,,,
anime,Solo Leveling,Igris,,,
anime,Solo Leveling,Beru,,,
anime,Solo Leveling,Bellion,,,
anime,Solo Leveling,Thomas Andre,,,
anime,Solo Leveling,Liu Zhigang,,,
anime,Solo Leveling,Antares,,,
anime,Jujutsu Kaisen,Nobara Kugisaki,,,
anime,Jujutsu Kaisen,Maki Zenin,,,
anime,Jujutsu Kaisen,Kinji Hakari,,,
anime,Jujutsu Kaisen,Hajime Kashimo,,,
anime,Jujutsu Kaisen,Toji Fushiguro,,,
anime,Jujutsu Kaisen,Choso,,,
anime,Jujutsu Kaisen,Mahito,,,
anime,Jujutsu Kaisen,Jogo,,,
anime,Jujutsu Kaisen,Hanami,,,
anime,Jujutsu Kaisen,Dagon,,,
anime,Jujutsu Kaisen,Kenjaku,,,
anime,Chainsaw Man,Kishibe,,,
anime,Chainsaw Man,Asa Mitaka,,,
anime,Chainsaw Man,Yoru,,,
anime,Chainsaw Man,Fami,,,
anime,Chainsaw Man,Santa Claus,,,
anime,Chainsaw Man,Darkness Devil,,,
anime,Dorohedoro,Caiman,,,
anime,Dorohedoro,Nikaido,,,
anime,Dorohedoro,Shin,,,
anime,Dorohedoro,Noi,,,
anime,Dorohedoro,En,,,
anime,Dorohedoro,Ebisu,,,
anime,Dorohedoro,Fujita,,,
anime,Dorohedoro,Chota,,,
anime,Fire Force,Maki Oze,,,
anime,Fire Force,Tamaki Kotatsu,,,
anime,Fire Force,Joker,,,
anime,Fire Force,Sho Kusakabe,,,
anime,Fire Force,Leonard Burns,,,
anime,Soul Eater,Tsubaki Nakatsukasa,,,
anime,Soul Eater,Franken Stein,,,
anime,Soul Eater,Medusa Gorgon,,,
anime,Soul Eater,Asura,,,
anime,Soul Eater,Crona,,,
anime,Mob Psycho 100,Ritsu Kageyama,,,
anime,Mob Psycho 100,Teruki Hanazawa,,,
anime,Mob Psycho 100,Dimple,,,
anime,Mob Psycho 100,Sho Suzuki,,,
anime,Undead Unluck,Andy,,,
anime,Undead Unluck,Fuuko Izumo,,,
anime,Undead Unluck,Shen Xiang,,,
anime,Undead Unluck,Billy Alfred,,,
anime,Undead Unluck,Juiz,,,
anime,Undead Unluck,Rip Tristan,,,
anime,Undead Unluck,Gina Chamber,,,
anime,Hellsing,Walter C. Dornez,,,
anime,Hellsing,The Captain,,,
anime,Hellsing,Schrodinger,,,
anime,Claymore,Clare,,,
anime,Claymore,Teresa,,,
anime,Claymore,Priscilla,,,
anime,Claymore,Miria,,,
anime,Claymore,Deneve,,,
anime,Claymore,Helen,,,
anime,Claymore,Galatea,,,
anime,Claymore,Isley,,,
anime,Magi,Aladdin,,,
anime,Magi,Alibaba Saluja,,,
anime,Magi,Morgiana,,,
anime,Magi,Sinbad,,,
anime,Magi,Judal,,,
anime,Magi,Hakuryuu Ren,,,
anime,Magi,Kouen Ren,,,
anime,The Seven Deadly Sins,Meliodas,,,
anime,The Seven Deadly Sins,Ban,,,
anime,The Seven Deadly Sins,Diane,,,
anime,The Seven Deadly Sins,King,,,
anime,The Seven Deadly Sins,Gowther,,,
anime,The Seven Deadly Sins,Merlin,,,
anime,The Seven Deadly Sins,Escanor,,,
anime,The Seven Deadly Sins,Zeldris,,,
anime,The Seven Deadly Sins,Estarossa,,,
anime,Gintama,Gintoki Sakata,,,
anime,Gintama,Kagura,,,
anime,Gintama,Shinpachi Shimura,,,
anime,Gintama,Shinsuke Takasugi,,,
anime,Gintama,Kotaro Katsura,,,
anime,Gintama,Kamui,,,
anime,Gintama,Utsuro,,,
anime,Yu Yu Hakusho,Genkai,,,
anime,Yu Yu Hakusho,Younger Toguro,,,
anime,Yu Yu Hakusho,Shinobu Sensui,,,
anime,Yu Yu Hakusho,Mukuro,,,
anime,Yu Yu Hakusho,Yomi,,,
anime,Saint Seiya,Pegasus Seiya,,,
anime,Saint Seiya,Dragon Shiryu,,,
anime,Saint Seiya,Cygnus Hyoga,,,
anime,Saint Seiya,Andromeda Shun,,,
anime,Saint Seiya,Phoenix Ikki,,,
anime,Saint Seiya,Gemini Saga,,,
anime,Saint Seiya,Virgo Shaka,,,
anime,Saint Seiya,Leo Aiolia,,,
