category,franchise,name,aliases,wiki_title,wiki_url
comic,Marvel,Hyperion,,,
comic,Marvel,Gladiator,,,
comic,Marvel,Quasar,,,
comic,Marvel,Magik,,,
comic,Marvel,Nico Minoru,,,
comic,Marvel,Elsa Bloodstone,,,
comic,Marvel,Wonder Man,,,
comic,Marvel,Hercules,,,
comic,Marvel,Squirrel Girl,,,
comic,Marvel,Cloak,,,
comic,Marvel,Dagger,,,
comic,Marvel,Songbird,,,
comic,Marvel,Vulcan,,,
comic,Marvel,Darwin,,,
comic,Marvel,Legion,,,
comic,Marvel,Hope Summers,,,
comic,Marvel,Rachel Summers,,,
comic,Marvel,Exodus,,,
comic,Marvel,Polaris,,,
comic,Marvel,Sebastian Shaw,,,
comic,Marvel,Robbie Reyes,,,
comic,Marvel,Cosmic Ghost Rider,,,
comic,Marvel,Gorr the God Butcher,,,
comic,Marvel,Knull,,,
comic,Marvel,Terrax,,,
comic,Marvel,Super-Skrull,,,
comic,Marvel,Molecule Man,,,
comic,Marvel,Sersi,,,
comic,Marvel,Ikaris,,,
comic,Marvel,Thena,,,
comic,Marvel,Gilgamesh,,,
comic,Marvel,Taskmaster,,,
comic,Marvel,Sentinel,,,
comic,Marvel,Nimrod,,,
comic,Marvel,Bastion,,,
comic,DC,Big Barda,,,
comic,DC,Lightray,,,
comic,DC,Metron,,,
comic,DC,Highfather,,,
comic,DC,Zatanna,,,
comic,DC,John Constantine,,,
comic,DC,Etrigan,,,
comic,DC,Animal Man,,,
comic,DC,Ragman,,,
comic,DC,Deadman,,,
comic,DC,Donna Troy,,,
comic,DC,Wonder Girl,,,
comic,DC,Blue Beetle,,,
comic,DC,Booster Gold,,,
comic,DC,Firestorm,,,
comic,DC,Captain Atom,,,
comic,DC,The Atom,,,
comic,DC,Plastic Man,,,
comic,DC,Elongated Man,,,
comic,DC,Vixen,,,
comic,DC,Red Tornado,,,
comic,DC,Mister Terrific,,,
comic,DC,Hawkman,,,
comic,DC,Hawkgirl,,,
comic,DC,Black Canary,,,
comic,DC,Lady Shiva,,,
comic,DC,Cassandra Cain,,,
comic,DC,Katana,,,
comic,DC,Azrael,,,
comic,DC,Lobo,,,
comic,DC,Mongul,,,
comic,DC,Despero,,,
comic,DC,Anti-Monitor,,,
comic,DC,Trigon,,,
comic,DC,Nekron,,,
comic,DC,Saint Walker,,,
comic,DC,Jessica Cruz,,,
comic,DC,Simon Baz,,,
comic,DC,Kyle Rayner,,,
comic,DC,Guy Gardner,,,
comic,DC,John Stewart,,,
