category,franchise,name,aliases,wiki_title,wiki_url
game,Elden Ring,Malenia,,,
game,Elden Ring,Godfrey,,,
game,Elden Ring,Morgott,,,
game,Elden Ring,Mohg,,,
game,Elden Ring,Radagon,,,
game,Elden Ring,Maliketh,,,
game,Elden Ring,Messmer,,,
game,Elden Ring,Rellana,,,
game,Elden Ring,Godrick,,,
game,Elden Ring,Rennala,,,
game,Dark Souls,Gwyn,,,
game,Dark Souls,Artorias,,,
game,Dark Souls,Ornstein,,,
game,Dark Souls,Smough,,,
game,Dark Souls,Sif,,,
game,Dark Souls,Manus,,,
game,Dark Souls,Abyss Watchers,,,
game,Dark Souls,Nameless King,,,
game,Dark Souls,Slave Knight Gael,,,
game,Dark Souls,Sister Friede,,,
game,Bloodborne,The Hunter,,,
game,Bloodborne,Gehrman,,,
game,Bloodborne,Ludwig,,,
game,Bloodborne,Laurence,,,
game,Bloodborne,Moon Presence,,,
game,Bloodborne,Ebrietas,,,
game,Sekiro,Owl,,,
game,Sekiro,Lady Butterfly,,,
game,Sekiro,Emma,,,
game,Sekiro,Demon of Hatred,,,
game,Hades,Zagreus,,,
game,Hades,Melinoe,,,
game,Hades,Hades,,,
game,Hades,Megaera,,,
game,Hades,Thanatos,,,
game,Hades,Theseus,,,
game,Hades,Asterius,,,
game,Hades,Chronos,,,
game,Warframe,Excalibur,,,
game,Warframe,Mag,,,
game,Warframe,Volt,,,
game,Warframe,Rhino,,,
game,Warframe,Saryn,,,
game,Warframe,Mesa,,,
game,Warframe,Wukong,,,
game,Warframe,Sevagoth,,,
game,Warframe,The Stalker,,,
game,Warframe,Ballas,,,
game,Destiny,The Guardian,,,
game,Destiny,Ikora Rey,,,
game,Destiny,Saint-14,,,
game,Destiny,Osiris,,,
game,Destiny,Cayde-6,,,
game,Destiny,Savathun,,,
game,Destiny,Oryx,,,
game,Destiny,Rhulk,,,
game,Destiny,The Witness,,,
game,Halo,The Arbiter,,,
game,Halo,Tartarus,,,
game,Halo,Didact,,,
game,Halo,Escharum,,,
game,Halo,Jega Rdomnai,,,
game,Bayonetta,Jeanne,,,
game,Bayonetta,Rodin,,,
game,Bayonetta,Luka,,,
game,Bayonetta,Balder,,,
game,Bayonetta,Loptr,,,
game,Bayonetta,Viola,,,
game,NieR: Automata,2B,,,
game,NieR: Automata,9S,,,
game,NieR: Automata,A2,,,
game,NieR: Automata,Adam,,,
game,NieR: Automata,Eve,,,
game,NieR: Automata,Emil,,,
game,NieR: Automata,Pascal,,,
game,Metal Gear,The Boss,,,
game,Metal Gear,Jetstream Sam,,,
game,Metal Gear,Monsoon,,,
game,Metal Gear,Sundowner,,,
game,Metal Gear,Mistral,,,
game,Guilty Gear,Justice,,,
game,Guilty Gear,Elphelt Valentine,,,
game,Guilty Gear,Nagoriyuki,,,
game,Guilty Gear,I-No,,,
game,Guilty Gear,Axl Low,,,
game,BlazBlue,Rachel Alucard,,,
game,BlazBlue,Hazama,,,
game,BlazBlue,Yuuki Terumi,,,
game,BlazBlue,Nine the Phantom,,,
game,BlazBlue,Es,,,
game,Tekken,Jun Kazama,,,
game,Tekken,Reina,,,
game,Tekken,Alisa Bosconovitch,,,
game,Tekken,Bryan Fury,,,
game,Tekken,Yoshimitsu,,,
game,Street Fighter,Gill,,,
game,Street Fighter,Oro,,,
game,Street Fighter,Luke Sullivan,,,
game,Street Fighter,Jamie Siu,,,
game,Street Fighter,JP,,,
game,Street Fighter,Marisa,,,
game,Mortal Kombat,Kung Lao,,,
game,Mortal Kombat,Jade,,,
game,Mortal Kombat,Shinnok,,,
game,Mortal Kombat,Geras,,,
game,Mortal Kombat,Kronika,,,
game,Mortal Kombat,Kenshi,,,
game,Final Fantasy XVI,Cidolfus Telamon,,,
game,Final Fantasy XVI,Ultima,,,
game,Xenoblade Chronicles,Rex,,,
game,Xenoblade Chronicles,Pyra,,,
game,Xenoblade Chronicles,Mythra,,,
game,Xenoblade Chronicles,Nia,,,
game,Xenoblade Chronicles,Jin,,,
game,Xenoblade Chronicles,Malos,,,
game,Xenoblade Chronicles,Noah,,,
game,Xenoblade Chronicles,Mio,,,
game,Xenoblade Chronicles,N,,,
game,Persona 5,Ren Amamiya,,,
game,Persona 5,Ryuji Sakamoto,,,
game,Persona 5,Ann Takamaki,,,
game,Persona 5,Yusuke Kitagawa,,,
game,Persona 5,Makoto Niijima,,,
game,Persona 5,Haru Okumura,,,
game,Persona 5,Goro Akechi,,,
game,Persona 5,Sumire Yoshizawa,,,
game,Mass Effect,Liara T’Soni,,,
game,Mass Effect,Samara,,,
game,Mass Effect,Jack,,,
game,Mass Effect,Thane Krios,,,
game,Mass Effect,Grunt,,,
game,Dragon Age,The Warden,,,
game,Dragon Age,Hawke,,,
game,Dragon Age,The Inquisitor,,,
game,Dragon Age,Solas,,,
game,Dragon Age,Morrigan,,,
game,Dragon Age,Flemeth,,,
game,Dragon Age,Corypheus,,,
game,Dragon Age,Fenris,,,
game,Dragon Age,Anders,,,
game,League of Legends,Morgana,,,
game,League of Legends,Kayle,,,
game,League of Legends,Kindred,,,
game,League of Legends,Volibear,,,
game,League of Legends,Ornn,,,
game,League of Legends,Fiddlesticks,,,
game,League of Legends,Bel’Veth,,,
game,League of Legends,Pantheon,,,
game,Overwatch,Sigma,,,
game,Overwatch,Soldier: 76,,,
game,Overwatch,Sojourn,,,
game,Overwatch,Ramattra,,,
game,Overwatch,Illari,,,
