category,franchise,name,aliases,wiki_title,wiki_url
mixed,Invincible,Mark Grayson,,,
mixed,Invincible,Omni-Man,,,
mixed,Invincible,Atom Eve,,,
mixed,Invincible,Battle Beast,,,
mixed,Invincible,Allen the Alien,,,
mixed,Invincible,Thragg,,,
mixed,Invincible,Conquest,,,
mixed,Invincible,Robot,,,
mixed,Invincible,Monster Girl,,,
mixed,Invincible,The Immortal,,,
mixed,The Boys,Homelander,,,
mixed,The Boys,Queen Maeve,,,
mixed,The Boys,Soldier Boy,,,
mixed,The Boys,Stormfront,,,
mixed,The Boys,A-Train,,,
mixed,The Boys,Black Noir,,,
mixed,The Boys,Starlight,,,
mixed,The Boys,Kimiko,,,
mixed,The Boys,Billy Butcher,,,
mixed,Castlevania,Trevor Belmont,,,
mixed,Castlevania,Sypha Belnades,,,
mixed,Castlevania,Carmilla,,,
mixed,Castlevania,Isaac,,,
mixed,Castlevania,Hector,,,
mixed,Castlevania,Maria Renard,,,
mixed,Avatar: The Last Airbender,Aang,,,
mixed,Avatar: The Last Airbender,Katara,,,
mixed,Avatar: The Last Airbender,Toph Beifong,,,
mixed,Avatar: The Last Airbender,Zuko,,,
mixed,Avatar: The Last Airbender,Azula,,,
mixed,Avatar: The Last Airbender,Iroh,,,
mixed,Avatar: The Last Airbender,Ozai,,,
mixed,Avatar: The Last Airbender,Sokka,,,
mixed,Avatar: The Last Airbender,Suki,,,
mixed,Avatar: The Last Airbender,Ty Lee,,,
mixed,Avatar: The Last Airbender,Mai,,,
mixed,The Legend of Korra,Korra,,,
mixed,The Legend of Korra,Mako,,,
mixed,The Legend of Korra,Bolin,,,
mixed,The Legend of Korra,Tenzin,,,
mixed,The Legend of Korra,Lin Beifong,,,
mixed,The Legend of Korra,Suyin Beifong,,,
mixed,The Legend of Korra,Zaheer,,,
mixed,The Legend of Korra,Kuvira,,,
mixed,The Legend of Korra,Amon,,,
mixed,The Legend of Korra,Unalaq,,,
mixed,Ben 10,Ben Tennyson,,,
mixed,Ben 10,Gwen Tennyson,,,
mixed,Ben 10,Kevin Levin,,,
mixed,Ben 10,Vilgax,,,
mixed,Ben 10,Charmcaster,,,
mixed,Ben 10,Aggregor,,,
mixed,Ben 10,Ultimate Echo Echo,,,
mixed,Ben 10,Alien X,,,
mixed,Ben 10,Atomix,,,
mixed,Ben 10,Way Big,,,
mixed,Adventure Time,Finn the Human,,,
mixed,Adventure Time,Jake the Dog,,,
mixed,Adventure Time,Marceline,,,
mixed,Adventure Time,Princess Bubblegum,,,
mixed,Adventure Time,Ice King,,,
mixed,Adventure Time,The Lich,,,
mixed,Adventure Time,Flame Princess,,,
mixed,Adventure Time,Hunson Abadeer,,,
mixed,Steven Universe,Steven Universe,,,
mixed,Steven Universe,Garnet,,,
mixed,Steven Universe,Amethyst,,,
mixed,Steven Universe,Pearl,,,
mixed,Steven Universe,Lapis Lazuli,,,
mixed,Steven Universe,Peridot,,,
mixed,Steven Universe,Jasper,,,
mixed,Steven Universe,Spinel,,,
mixed,Steven Universe,White Diamond,,,
mixed,Steven Universe,Yellow Diamond,,,
mixed,Steven Universe,Blue Diamond,,,
mixed,The Owl House,Luz Noceda,,,
mixed,The Owl House,Eda Clawthorne,,,
mixed,The Owl House,Lilith Clawthorne,,,
mixed,The Owl House,Amity Blight,,,
mixed,The Owl House,Willow Park,,,
mixed,The Owl House,Gus Porter,,,
mixed,The Owl House,Hunter,,,
mixed,The Owl House,Emperor Belos,,,
mixed,The Owl House,The Collector,,,
mixed,Amphibia,Anne Boonchuy,,,
mixed,Amphibia,Sasha Waybright,,,
mixed,Amphibia,Marcy Wu,,,
mixed,Amphibia,King Andrias,,,
mixed,Amphibia,Darcy,,,
mixed,Amphibia,General Yunan,,,
mixed,Amphibia,Grime,,,
mixed,RWBY,Ruby Rose,,,
mixed,RWBY,Weiss Schnee,,,
mixed,RWBY,Blake Belladonna,,,
mixed,RWBY,Yang Xiao Long,,,
mixed,RWBY,Pyrrha Nikos,,,
mixed,RWBY,Qrow Branwen,,,
mixed,RWBY,Raven Branwen,,,
mixed,RWBY,Cinder Fall,,,
mixed,RWBY,Salem,,,
mixed,RWBY,Penny Polendina,,,
mixed,Doctor Who,The Doctor,,,
mixed,Doctor Who,The Master,,,
mixed,Doctor Who,Dalek,,,
mixed,Doctor Who,Cyberman,,,
mixed,Doctor Who,Weeping Angel,,,
mixed,Doctor Who,Sontaran,,,
mixed,Doctor Who,The Toymaker,,,
mixed,Supernatural,Sam Winchester,,,
mixed,Supernatural,Dean Winchester,,,
mixed,Supernatural,Castiel,,,
mixed,Supernatural,Crowley,,,
mixed,Supernatural,Lucifer,,,
mixed,Supernatural,Michael,,,
mixed,Supernatural,Rowena MacLeod,,,
mixed,Supernatural,Jack Kline,,,
mixed,Buffy the Vampire Slayer,Buffy Summers,,,
mixed,Buffy the Vampire Slayer,Faith Lehane,,,
mixed,Buffy the Vampire Slayer,Willow Rosenberg,,,
mixed,Buffy the Vampire Slayer,Spike,,,
mixed,Buffy the Vampire Slayer,Angel,,,
mixed,Buffy the Vampire Slayer,Illyria,,,
mixed,Buffy the Vampire Slayer,Glory,,,
mixed,Buffy the Vampire Slayer,Adam,,,
