category,franchise,name,aliases,wiki_title,wiki_url
anime,Dragon Ball,Son Goku,Goku|Kakarot,Son Goku (Dragon Ball),
anime,Naruto,Naruto Uzumaki,Naruto,Naruto Uzumaki,
game,Final Fantasy VII,Sephiroth,,Sephiroth,
game,Final Fantasy VII,Cloud Strife,Cloud,Cloud Strife,
comic,Marvel,Venom,Eddie Brock|Symbiote,Venom (Marvel Comics),
comic,Marvel,Iron Man,Tony Stark,Iron Man,
comic,Marvel,Thanos,,Thanos,
comic,DC,Darkseid,,Darkseid,
anime,Bleach,Ichigo Kurosaki,Ichigo,Ichigo Kurosaki,
anime,One Piece,Monkey D. Luffy,Luffy,Monkey D. Luffy,
anime,Dragon Ball,Vegeta,,Vegeta (Dragon Ball),
anime,Dragon Ball,Frieza,Freeza,Frieza,
comic,DC,Superman,Clark Kent,Superman,
comic,DC,Batman,Bruce Wayne,Batman,
comic,Marvel,Spider-Man,Peter Parker,Spider-Man,
game,Final Fantasy VII,Tifa Lockhart,Tifa,Tifa Lockhart,
game,Final Fantasy VII,Aerith Gainsborough,Aeris,Aerith Gainsborough,
