path,kind,category,franchise,slug,reasons
profiles/generated/anime/dragon-ball/beerus-dc-comics.yaml,generated,anime,dragon-ball,beerus-dc-comics,comic_continuity_on_non_comic:dc-comics;dc_continuity_on_non_dc:dc-comics;dragon_ball_cross_franchise_variant:dc-comics;yaml_text_mentions_wrong_comic_franchise
profiles/generated/anime/dragon-ball/beerus-marvel-comics.yaml,generated,anime,dragon-ball,beerus-marvel-comics,comic_continuity_on_non_comic:marvel-comics;dragon_ball_cross_franchise_variant:marvel-comics;marvel_continuity_on_non_marvel:marvel-comics;yaml_text_mentions_wrong_comic_franchise
profiles/generated/anime/dragon-ball/beerus-post-crisis.yaml,generated,anime,dragon-ball,beerus-post-crisis,comic_continuity_on_non_comic:post-crisis;dc_continuity_on_non_dc:post-crisis;dragon_ball_cross_franchise_variant:post-crisis;yaml_text_mentions_wrong_comic_franchise
profiles/generated/anime/dragon-ball/beerus-post-flashpoint.yaml,generated,anime,dragon-ball,beerus-post-flashpoint,comic_continuity_on_non_comic:post-flashpoint;dc_continuity_on_non_dc:post-flashpoint;dragon_ball_cross_franchise_variant:post-flashpoint
profiles/generated/anime/dragon-ball/beerus-rebirth.yaml,generated,anime,dragon-ball,beerus-rebirth,comic_continuity_on_non_comic:rebirth;dc_continuity_on_non_dc:rebirth;dragon_ball_cross_franchise_variant:rebirth
profiles/generated/anime/dragon-ball/broly-dc-comics.yaml,generated,anime,dragon-ball,broly-dc-comics,comic_continuity_on_non_comic:dc-comics;dc_continuity_on_non_dc:dc-comics;dragon_ball_cross_franchise_variant:dc-comics;yaml_text_mentions_wrong_comic_franchise
profiles/generated/anime/dragon-ball/broly-marvel-comics.yaml,generated,anime,dragon-ball,broly-marvel-comics,comic_continuity_on_non_comic:marvel-comics;dragon_ball_cross_franchise_variant:marvel-comics;marvel_continuity_on_non_marvel:marvel-comics;yaml_text_mentions_wrong_comic_franchise
profiles/generated/anime/dragon-ball/broly-rebirth.yaml,generated,anime,dragon-ball,broly-rebirth,comic_continuity_on_non_comic:rebirth;dc_continuity_on_non_dc:rebirth;dragon_ball_cross_franchise_variant:rebirth
profiles/generated/anime/dragon-ball/cell-dc-comics.yaml,generated,anime,dragon-ball,cell-dc-comics,comic_continuity_on_non_comic:dc-comics;dc_continuity_on_non_dc:dc-comics;dragon_ball_cross_franchise_variant:dc-comics;yaml_text_mentions_wrong_comic_franchise
profiles/generated/anime/dragon-ball/cell-marvel-comics.yaml,generated,anime,dragon-ball,cell-marvel-comics,comic_continuity_on_non_comic:marvel-comics;dragon_ball_cross_franchise_variant:marvel-comics;marvel_continuity_on_non_marvel:marvel-comics;yaml_text_mentions_wrong_comic_franchise
profiles/generated/anime/dragon-ball/cell-post-crisis.yaml,generated,anime,dragon-ball,cell-post-crisis,comic_continuity_on_non_comic:post-crisis;dc_continuity_on_non_dc:post-crisis;dragon_ball_cross_franchise_variant:post-crisis;yaml_text_mentions_wrong_comic_franchise
profiles/generated/anime/dragon-ball/cell-post-flashpoint.yaml,generated,anime,dragon-ball,cell-post-flashpoint,comic_continuity_on_non_comic:post-flashpoint;dc_continuity_on_non_dc:post-flashpoint;dragon_ball_cross_franchise_variant:post-flashpoint
profiles/generated/anime/dragon-ball/cell-rebirth.yaml,generated,anime,dragon-ball,cell-rebirth,comic_continuity_on_non_comic:rebirth;dc_continuity_on_non_dc:rebirth;dragon_ball_cross_franchise_variant:rebirth
profiles/generated/anime/dragon-ball/frieza-dc-comics.yaml,generated,anime,dragon-ball,frieza-dc-comics,comic_continuity_on_non_comic:dc-comics;dc_continuity_on_non_dc:dc-comics;dragon_ball_cross_franchise_variant:dc-comics;yaml_text_mentions_wrong_comic_franchise
profiles/generated/anime/dragon-ball/frieza-marvel-comics.yaml,generated,anime,dragon-ball,frieza-marvel-comics,comic_continuity_on_non_comic:marvel-comics;dragon_ball_cross_franchise_variant:marvel-comics;marvel_continuity_on_non_marvel:marvel-comics;yaml_text_mentions_wrong_comic_franchise
profiles/generated/anime/dragon-ball/frieza-post-crisis.yaml,generated,anime,dragon-ball,frieza-post-crisis,comic_continuity_on_non_comic:post-crisis;dc_continuity_on_non_dc:post-crisis;dragon_ball_cross_franchise_variant:post-crisis;yaml_text_mentions_wrong_comic_franchise
